13,87,202
3,92,91
69,214,279
19,95,223
22,99,128
71,225,223
7,110,109
73,233,232
46,137,234
43,126,133
47,139,203
11,170,133
11,85,170
65,198,205
15,160,89
15,90,150
14,176,88
50,151,152
22,130,98
24,130,101
46,135,169
20,97,165
46,134,135
21,129,166
36,117,132
33,113,215
48,143,158
61,184,241
29,108,154
27,239,105
48,142,143
13,139,86
40,122,248
49,147,183
35,116,179
64,194,278
67,206,207
49,146,147
37,181,132
65,200,196
47,141,174
69,216,215
72,228,251
18,161,153
79,266,262
26,137,103
62,186,254
47,140,141
83,284,281
51,155,156
33,145,112
39,149,120
72,229,227
17,93,152
19,162,94
31,111,156
32,144,157
62,189,186
4,134,219
41,197,123
70,221,255
72,227,228
28,211,106
78,260,258
74,242,240
52,187,253
56,160,164
24,102,167
25,136,168
42,125,172
12,138,171
59,178,177
56,178,159
37,119,181
38,148,182
52,185,258
83,285,282
63,191,246
66,201,271
41,140,197
64,195,265
34,146,207
78,259,286
62,188,270
53,191,199
59,269,175
65,205,199
67,208,231
67,209,275
48,212,142
68,212,218
64,278,274
54,213,217
70,220,237
52,235,185
56,225,163
70,226,219
63,192,250
55,209,230
73,232,236
70,237,221
54,194,282
74,239,242
62,245,188
55,192,263
10,190,247
55,230,249
71,226,256
71,256,224
62,260,245
75,261,243
64,265,193
63,246,264
59,189,269
53,204,268
55,195,273
8,206,272
54,217,277
8,272,276
61,241,283
78,286,257
2,201,87
17,127,92
8,276,214
4,222,95
5,100,99
56,162,225
31,131,110
26,104,233
26,233,137
1,84,126
13,202,139
58,173,170
12,171,85
47,203,198
56,159,160
16,151,90
59,175,176
16,127,151
24,129,130
22,128,130
20,165,135
21,166,97
4,96,134
24,167,129
9,118,117
8,214,113
29,154,143
6,238,184
30,155,108
74,238,239
28,107,142
47,138,139
10,247,122
35,179,147
36,180,116
54,277,194
8,114,206
34,115,146
60,180,181
63,190,200
42,172,141
48,145,216
40,248,228
56,164,161
75,243,266
46,136,137
45,252,186
41,124,140
64,193,284
30,131,155
48,144,145
49,148,149
49,149,229
18,153,93
56,161,162
32,157,111
48,158,144
59,177,189
46,220,134
65,196,197
52,253,221
39,121,227
68,210,211
62,187,260
68,213,242
62,254,187
15,150,160
25,168,102
46,169,136
43,173,125
47,174,138
56,163,178
59,176,178
38,182,119
49,183,148
61,259,185
74,240,285
53,244,191
2,267,201
47,198,140
55,263,195
49,208,146
61,283,259
53,268,188
63,200,191
80,267,269
66,204,205
49,229,208
55,273,209
68,211,212
48,216,212
82,280,278
68,218,213
46,234,220
73,236,235
71,224,225
71,222,226
55,249,192
67,231,209
6,184,232
73,235,237
64,284,194
27,210,239
75,244,245
63,264,192
63,250,190
72,251,230
70,255,226
77,252,256
78,261,260
78,257,261
79,262,265
